,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis,range,CV,missing_pct,constant
SCOPA_SCAU24,3244.0,5.468249075215783,4.110924566052363,0.0,1.0,9.0,9.0,9.0,-0.3479263389888023,-1.8062962988496045,9.0,0.7517807820211887,63.1447398318564,False
SCOPA_SCAU25,3243.0,5.382670366944187,4.153074497725623,0.0,1.0,9.0,9.0,9.0,-0.31052477322841804,-1.8471541411419143,9.0,0.7715639663224219,63.156100886162235,False
SCOPA_SCAU26A,5600.0,0.19785714285714287,0.3984194271821024,0.0,0.0,0.0,0.0,1.0,1.5172493269027945,0.30215330431445553,1.0,2.0136721951441996,36.378095887298336,False
SCOPA_SCAU26B,5600.0,0.12857142857142856,0.33475487627296563,0.0,0.0,0.0,0.0,1.0,2.219900579311275,2.929004527565009,1.0,2.603649037678622,36.378095887298336,False
SCOPA_SCAU26C,5602.0,0.3314887540164227,0.4707903196196597,0.0,0.0,0.0,1.0,1.0,0.7161210481456521,-1.4877019043378967,1.0,1.420230140285048,36.35537377868666,False
SCOPA_SCAU26D,5593.0,0.3195065260146612,0.4663271242045866,0.0,0.0,0.0,1.0,1.0,0.7743836047051691,-1.400831083658537,1.0,1.4595230026168176,36.45762326743922,False
Unive_SCENT_01_CORRECT,768.0,0.375,0.4844384105989373,0.0,0.0,0.0,1.0,1.0,0.5174088925039302,-1.7368178069022793,1.0,1.291835761597166,91.2747102931152,False
Unive_SCENT_01_RESPONSE,768.0,2.6263020833333335,1.0697626111525418,1.0,2.0,2.0,4.0,4.0,0.043904455193684834,-1.318096342750559,3.0,0.4073265668642301,91.2747102931152,False
Unive_SCENT_02_CORRECT,769.0,0.5981794538361509,0.49058512475348137,0.0,0.0,1.0,1.0,1.0,-0.4012981962781946,-1.84376176594795,1.0,0.8201303498596242,91.26334923880937,False
Unive_SCENT_02_RESPONSE,769.0,2.0650195058517555,0.7928300317561406,1.0,2.0,2.0,2.0,4.0,0.8110815749170261,0.6457373238248887,3.0,0.3839334347735971,91.26334923880937,False
Unive_SCENT_03_CORRECT,768.0,0.6458333333333334,0.4785716833970646,0.0,0.0,1.0,1.0,1.0,-0.6110436713632232,-1.6308795187359177,1.0,0.7410142194535193,91.2747102931152,False
