Feature,Overall_Mean,Temporal_Variance,Coefficient_of_Variation,Baseline_vs_V04_Shift
Unive_SCENT_07_RESPONSE,2.0521512385919167,1.5612453661309704,0.6088723005261888,
Unive_SCENT_08_CORRECT,0.664490861618799,0.2232341848837011,0.7110355873707714,
Unive_SCENT_08_RESPONSE,2.137075718015666,0.6073294766122289,0.3646634783946059,
Unive_SCENT_09_CORRECT,0.6488250652741514,0.2281489445212376,0.7361759286757656,
Unive_SCENT_09_RESPONSE,2.7193211488250655,0.6021621529377637,0.2853620574413607,
Unive_SCENT_10_CORRECT,0.5319426336375489,0.2493047068875719,0.9386429874350821,
Unive_SCENT_10_RESPONSE,2.195567144719687,0.8024346322350483,0.4079980701301868,
Unive_SCENT_11_CORRECT,0.7712418300653595,0.17665879615371452,0.5449755982589185,
Unive_SCENT_11_RESPONSE,2.854901960784314,0.49069910686787793,0.24536715925157374,
Unive_SCENT_12_CORRECT,0.6039215686274509,0.23951339698182939,0.8103718841390749,
Unive_SCENT_12_RESPONSE,2.037908496732026,0.5836395989460356,0.3748760499545686,
Unive_SCENT_13_CORRECT,0.5040760869565217,0.2503234989648033,0.9925553052946792,
Unive_SCENT_13_RESPONSE,1.7622282608695652,0.9216189736764269,0.5447704496570515,
Unive_SCENT_14_CORRECT,0.6005221932114883,0.24020887728459528,0.8161415052071173,
Unive_SCENT_14_RESPONSE,3.1305483028720626,1.3973139473369853,0.3775953069173339,
Unive_SCENT_15_CORRECT,0.5764705882352941,0.2444718201416692,0.8577036310707816,
Unive_SCENT_15_RESPONSE,2.156862745098039,0.7764089929165384,0.408528885711671,
Unive_SCENT_16_CORRECT,0.5848563968668408,0.24311677673680437,0.8430594876519022,
Unive_SCENT_16_RESPONSE,3.2258485639686683,1.1397754227887846,0.330952501624847,
Unive_SCENT_17_CORRECT,0.5869281045751634,0.24276083906511992,0.839468509028972,
Unive_SCENT_17_RESPONSE,2.026143790849673,1.729682099715977,0.6491019031466384,
Unive_SCENT_18_CORRECT,0.6272965879265092,0.2341028002248733,0.7713125165956293,
Unive_SCENT_18_RESPONSE,1.8517060367454068,1.500976060646821,0.6616294689160365,
Unive_SCENT_19_CORRECT,0.7712418300653595,0.17665879615371455,0.5449755982589185,
Unive_SCENT_19_RESPONSE,2.2601307189542483,0.5461177839373096,0.32697127552999017,
Unive_SCENT_20_CORRECT,0.5863874345549738,0.24285508429799696,0.840405613502724,
Unive_SCENT_20_RESPONSE,2.608638743455497,0.6185884459937008,0.3014997538196573,
Unive_SCENT_21_CORRECT,0.7019607843137254,0.20948567908838928,0.652025106791984,
Unive_SCENT_21_RESPONSE,1.423529411764706,0.542901139513397,0.5175995999582506,
Unive_SCENT_22_CORRECT,0.7075718015665796,0.20718442294237105,0.6432918261083791,
